sys_index	s_sku	s_item_name	s_price	s_mpn	s_upc	s_asin	s_gtin	s_variant	s_image_url	s_product_url	s_brand	s_category	s_description	SERP_KEY	SERP_URL	r_item_name	r_price	r_mpn	r_upc	r_asin	r_gtin	r_variant	r_image_url	r_product_url	r_brand	r_category	r_description
1	GS1	OtterBox Black Symmetry Series Case for iPhone X/XS	59.95	77-57089			660543000000.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases		itemname	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)	$19.99 	77-57089			660543000000.0		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new			
2	GS1	OtterBox Black Symmetry Series Case for iPhone X/XS	59.95	77-57089			660543000000.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases		itemname	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)	$19.99 	77-57089			660543000000.0		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new			
3	GS1	OtterBox Black Symmetry Series Case for iPhone X/XS	59.95	77-57089			660543000000.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases		itemname	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)	$19.99 	77-57089			660543000000.0		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new			
4	GS1	OtterBox Black Symmetry Series Case for iPhone X/XS	59.95	77-57089			660543000000.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases		itemname	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)	$19.99 	77-57089			660543000000.0		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new			
5	GS1	OtterBox Black Symmetry Series Case for iPhone X/XS	59.95	77-57089			660543000000.0		 https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRgDY0xF3pI2XWJnBygxf7_Qo5qQWe0sF37rAbHCvow6E0l2fMjFwfHKVgl6FP5mNF7KBSZtLXYHxfSVaGiSgoxjIwQssIb-fVrI9nAKZq6mysDhs_CKIMb&usqp=CAY	https://www.google.com/shopping/product/1/specs?prds=pid:11181636477139238862	OtterBox	Mobile Phone Cases		itemname	https://www.amazon.com/s/ref=nb_sb_noss?url=search-alias%3Daps&field-keywords=OtterBox%20Black%20Symmetry%20Series%20Case%20for%20iPhone%20X/XS	iPhone X Case, Clayco [Hera Series] Full-body Rugged Case with Built-in Screen Protector for Apple iPhone X 2017 Release (Purple)	$19.99 	77-57089			660543000000.0		https://m.media-amazon.com/images/I/71Ac-UYZ15L._AC_UL320_.jpg	https://www.amazon.com/gp/offer-listing/B075YRV6KK?condition=new			
